In my Feelings,Scorpion,Drake,Rap,musicfiles\\InMyFeelings.mp3
Work,Anti,Rihanna,Hip-Hop,musicfiles\\Work-Rihanna.mp3
Delicate,Reputation,Taylor Swift,Pop,musicfiles\\TaylorSwift-Delicate.mp3
Blank Space,1989,Taylor Swift,Pop,musicfiles\\TaylorSwift-BlankSpace.mp3
Gods Plan,Scorpion,Drake,Rap,musicfiles\\God'sPlan.mp3
I miss the old you,Digital Druglord,Blackbear,RnB,musicfiles\\blackbear-imisstheoldu.mp3
Pain,Fearless,Josh A,Hip-Hop,musicfiles\\Pain.mp3
Smells Like Teen Spirit,Nevermind,Nirvana,Rock,musicfiles\\Nirvana-SmellsLikeTeenSpirit.mp3
On My Way,Growing Pains,Reo Cragun,Rap,musicfiles\\ReoCragun-OnMyWay.mp3
The Scotts,The Scotts,Travis Scott,Hip-Hop,musicfiles\\THESCOTTS.mp3
Teardrops,Teardrops,JXVE,Trap,musicfiles\\TEARDROPS-MadrecklessxJXVE.mp3
Sugar,Ginger,Brockhampton,Hip-Hop,musicfiles\\SUGAR-BROCKHAMPTON.mp3
Dont You Worry Child,Until Now,Swedish House Mafia,Trap,musicfiles\\SwedishHouseMafia-Don'tYouWorryChild.mp3
Livin On A Prayer,Slippery When Wet,Bon Jovi,Rock,musicfiles\\BonJovi-Livin'OnAPrayer.mp3
Bad Karma,Arena Live,Axel Thesleff,Trap,musicfiles\\AxelThesleff-BadKarma.mp3
Run,Nectar,Joji,Alternative,musicfiles\\Joji-Run.mp3
Wildest Dreams,1989,Taylor Swift,Pop,musicfiles\\TaylorSwift-WildestDreams.mp3
